State,PC,MPCE (Rs.),Poverty (%),GINI
Andaman & Nicobar Island,Andaman & Nicobar Islands,2881.3,4.4,0.3
,Araku,1804.8,30,0.3
,Anakapalli,2154,31.7,0.4
,Srikakulam,1818,15.3,0.2
,Eluru,2084.6,11,0.2
,Rajahmundry,1888.9,14.9,0.2
,narsapuram,2014,10.5,0.2
,Amlapuram,1824,17.2,0.2
,narasaraopet,2001,19.8,0.3
,Machilipatnam,2276.9,12.3,0.3
,Guntur,2000.8,19.8,0.3
,Ongole,1835,10.9,0.2
,Bapatla,1907.2,14.8,0.2
Andhra Pradesh,Kurnool,1394,42.5,0.2
,Vizianagaram,1591.5,28.6,0.2
,Kakinada,1824,17.2,0.2
,Rajampet,1876.6,20.2,0.3
,Nellore,1912.8,13.2,0.2
,Anantapur,1450,33.7,0.2
,Kadapa,2065,18.2,0.3
,nandyal,1394,42.5,0.2
,Chittoor,1777.1,21.3,0.3
,Tirupati,1861.4,16.9,0.2
,Hindupur,1450,33.7,0.2
,Vijayawada,2278,12.3,0.3
,Visakhapatnam,2048.8,32.6,0.3
Arunanchal Pradesh,Arunachal West,1641.7,38.8,0.2
,Arunachal East,2277.6,26.9,0.2
Assam,Lakhimpur,1440.8,28.9,0.2
,Dibrugarh,1829,15.7,0.2
,Jorhat,1362.2,36.7,0.2
,Tezpur,1157.5,44.1,0.1
,Kaliabor,1275,36.9,0.2
,Mangaldoi,1221.9,40.4,0.2
,nagaon,1298.7,33.7,0.2
,Autonomous District,1034,64.6,0.1
,Dhubri,1163.3,50.8,0.2
,Karimganj,882.9,79,0.1
,Silchar,992,69.1,0.1
,Kokrajhar,1135.7,44.5,0.2
,Guwahati,1857.7,24.5,0.2
,Barpeta,1227.5,39.5,0.2
Bihar,Muzaffarpur,1021,58.7,0.2
,Valmiki nagar,1029,51.2,0.2
,Araria,1108,45.2,0.2
,Gopalganj,1079,38,0.1
,Siwan,1044,41.9,0.1
,Vaishali,1049.4,56.4,0.2
,Jhanjharpur,1112,41.8,0.2
,Supaul,1142.3,45.1,0.2
,Pashchim Champaran,1002.4,53.7,0.2
,Madhubani,1092.7,45.1,0.2
,Kishanganj,1065.8,49.4,0.2
,Darbhanga,1059.5,50.8,0.2
,Purnia,1035.8,49.9,0.1
,Maharajganj,1058.1,48.4,0.2
,Madhepura,1112,45,0.2
,Begusarai,1200,38,0.2
,Arrah,942,59.1,0.2
,Sasaram,983,58,0.2
,nawada,1030.6,47.3,0.1
,Banka,988.7,56.4,0.1
,nalanda,891,73.6,0.2
,Katihar,998,57.4,0.2
,Samastipur,1111.2,46.3,0.2
,Khagaria,1187.1,37.1,0.2
,Pataliputra,1373,49.4,0.3
,Buxar,995.6,63.3,0.2
,Patna Sahib,1369.1,49.3,0.3
,Bhagalpur,1049.7,61.6,0.2
,Munger,1126,50.5,0.2
,Purba Champaran,982.9,55.6,0.2
,Sheohar,939.3,64.5,0.2
,Sitamarhi,863,74.9,0.2
,Ujiapur,1134.9,45.4,0.2
,Hajipur,1179.3,46.3,0.2
,Karakat,1000.8,55.1,0.2
,Saran (Chhapra),1065,51.5,0.2
,Jamui,903.9,64.6,0.2
,Aurangabad,1012.7,53.8,0.2
,Gaya,1059,52.5,0.2
,Jahanabad,1051,47.3,0.2
Chandigarh,Chandigarh,3549,16.8,0.3
Chhattisgarh,Janjgir-Champa,1103.5,51.9,0.2
,Raipur,1280,43.8,0.3
,Surguja,1111.2,42.4,0.2
,Bilaspur,1295,41.2,0.3
,Rajnandgaon,980.3,65.3,0.2
,Durg,1320,47.8,0.3
,Mahasamund,1139.3,46,0.2
,Raigarh,1088.1,49.3,0.2
,Kanker,1154.7,52.9,0.3
,Bastar,905.8,74.4,0.2
,Korba,1204.3,48.6,0.3
Dadara & nagar Havelli,Dadra & nagar Haveli,1570.5,44.8,0.3
Daman & Diu,Daman & Diu,2009.7,24.9,0.2
Goa,South Goa,2632.7,5.1,0.2
,North Goa,2593,8.8,0.2
Gujarat,Bardoli,N/A,N/A,N/A
,Junagadh,1860.7,13.5,0.2
,Surat,2101,26.9,0.2
,Kheda,1685.5,34.8,0.2
,Ahmadabad (West),2513,24.3,0.3
,Jamnagar,1665,19.4,0.1
,Sabar Kantha,1463,25.2,0.2
,Banas Kantha,1241,49,0.2
,Patan,1388.4,51.8,0.3
,Panch Mahals,1264.9,46.5,0.2
,Dohad,1089.6,64.7,0.1
,Vadodara,1794,37.7,0.3
,Anand,1477.6,35.5,0.2
,Amreli,1695.5,13.7,0.2
,Ahmadabad (East),1956.2,34.2,0.3
,Rajkot,2217.4,16.4,0.2
,Surendranagar,2168.5,30,0.3
,navsari,1827.2,30.5,0.2
,Bharuch,1827.8,31.2,0.2
,Chhota Udaipur,1610.6,40,0.2
,Porbandar,2007.7,19.1,0.2
,Valsad,1988.2,33,0.3
,Gandhinagar,2184.4,30.1,0.3
,Mahesana,1612.3,42.7,0.3
,Bhavnagar,1654,30.3,0.2
,Kachchh,2071.6,25.9,0.3
Haryana,Ambala,2343.2,22.5,0.3
,Krukshetra,2033.8,16.3,0.2
,Sirsa,1780,28.9,0.3
,Karnal,2232.6,17.5,0.3
,Sonipat,2290.2,10.3,0.2
,Hisar,2040.4,18.1,0.2
,Rohtak,2422.7,9.2,0.2
,Bhiwani - Mahendragarh,2052.6,15,0.2
,Gurgaon,N/A,N/A,N/A
,Faridabad,N/A,N/A,N/A
Himachal Pradesh,Hamirpur,2030.5,8.6,0.2
,Kangra,2269.2,6.6,0.2
,Shimla,2282,10.3,0.3
,Mandi,1750.6,13.3,0.2
Jammu & Kashmir,Leh (Ladakh),N/A,N/A,N/A
,Jammu,N/A,N/A,N/A
,Srinagar,N/A,N/A,N/A
,Anantnag,N/A,N/A,N/A
,Baramula,N/A,N/A,N/A
